"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","beforeMethod","Default suite","Thu Jun 26 11:24:15 IST 2025","skipped","Thu Jun 26 11:24:15 IST 2025","test.FrameLogic","Default test","test.FrameLogic","beforeMethod"
"","33","siteTitle","Default suite","Thu Jun 26 11:22:09 IST 2025","passed","Thu Jun 26 11:22:09 IST 2025","test.Facebook_count","Default test","test.Facebook_count","siteTitle"
"","1","beforeMethod","Default suite","Thu Jun 26 11:22:12 IST 2025","passed","Thu Jun 26 11:22:12 IST 2025","test.FrameLogic","Default test","test.FrameLogic","beforeMethod"
"","5835","pagelink","Default suite","Thu Jun 26 11:23:18 IST 2025","passed","Thu Jun 26 11:23:24 IST 2025","test.Facebook_count","Default test","test.Facebook_count","pagelink"
"","0","beforeMethod","Default suite","Thu Jun 26 11:22:12 IST 2025","passed","Thu Jun 26 11:22:12 IST 2025","test.NewTest","Default test","test.NewTest","beforeMethod"
"","6","beforetest","Default suite","Thu Jun 26 11:24:15 IST 2025","broken","Thu Jun 26 11:24:15 IST 2025","test.FrameLogic","Default test","test.FrameLogic","beforetest"
"","145","siteTitle","Default suite","Thu Jun 26 11:21:45 IST 2025","passed","Thu Jun 26 11:21:45 IST 2025","test.AccessUrl2","Default test","test.AccessUrl2","siteTitle"
"","0","beforeMethod","Suite","Fri Dec 13 15:19:16 IST 2024","passed","Fri Dec 13 15:19:16 IST 2024","test.NewTest","Test123","test.NewTest","beforeMethod"
"","11","pagelink","Default suite","Thu Jun 26 11:22:12 IST 2025","passed","Thu Jun 26 11:22:12 IST 2025","test.Facebook_Link","Default test","test.Facebook_Link","pagelink"
"","17","enterpass","Default suite","Thu May 29 13:45:47 IST 2025","broken","Thu May 29 13:45:47 IST 2025","test.AccessUrl2","Default test","test.AccessUrl2","enterpass"
"","3","beforetest","Default suite","Thu Jun 26 11:24:36 IST 2025","broken","Thu Jun 26 11:24:36 IST 2025","test.NewTest","Default test","test.NewTest","beforetest"
"","19","siteTitle","Default suite","Thu Jun 26 11:22:19 IST 2025","broken","Thu Jun 26 11:22:19 IST 2025","test.AccessUrl","Default test","test.AccessUrl","siteTitle"
"","205","enterpass","Default suite","Thu Jun 26 11:21:45 IST 2025","broken","Thu Jun 26 11:21:45 IST 2025","test.AccessUrl2","Default test","test.AccessUrl2","enterpass"
"","2286","homepageAction","Suite","Fri Dec 13 15:19:08 IST 2024","passed","Fri Dec 13 15:19:10 IST 2024","test.HomePage_Simple","Test123","test.HomePage_Simple","homepageAction"
"","0","method1","Default suite","Thu Jun 26 11:24:36 IST 2025","skipped","Thu Jun 26 11:24:36 IST 2025","test.NewTest","Default test","test.NewTest","method1"
"","11295","HomeRediff","Default suite","Thu Jun 26 11:24:54 IST 2025","passed","Thu Jun 26 11:25:05 IST 2025","test.Rediff_Tab","Default test","test.Rediff_Tab","HomeRediff"
"","49","enteremail","Default suite","Mon Dec 30 15:13:58 IST 2024","broken","Mon Dec 30 15:13:59 IST 2024","test.AccessUrl","Default test","test.AccessUrl","enteremail"
"","180008","method","Suite","Fri Dec 13 15:22:16 IST 2024","broken","Fri Dec 13 15:25:16 IST 2024","test.FrameLogic","Test123","test.FrameLogic","method"
"","5060","signinAction","Suite","Fri Dec 13 15:19:10 IST 2024","passed","Fri Dec 13 15:19:16 IST 2024","test.HomePage_Simple","Test123","test.HomePage_Simple","signinAction"
"","2","HomeRediff","Suite","Fri Dec 13 15:18:48 IST 2024","broken","Fri Dec 13 15:18:48 IST 2024","test.Rediff_Tab","Test123","test.Rediff_Tab","HomeRediff"
"","11291","signinAction","Suite","Thu Apr 03 19:03:01 IST 2025","broken","Thu Apr 03 19:03:12 IST 2025","test.HomePage_Simple","Test","test.HomePage_Simple","signinAction"
"","180","enteremail","Default suite","Thu Jun 26 11:21:45 IST 2025","broken","Thu Jun 26 11:21:45 IST 2025","test.AccessUrl2","Default test","test.AccessUrl2","enteremail"
"","6","beforetest","Default suite","Thu Jun 26 11:24:25 IST 2025","broken","Thu Jun 26 11:24:25 IST 2025","test.HomePage_Simple","Default test","test.HomePage_Simple","beforetest"
"","26","siteTitle","Default suite","Thu Jun 26 11:23:59 IST 2025","passed","Thu Jun 26 11:23:59 IST 2025","test.Facebook_Test","Default test","test.Facebook_Test","siteTitle"
"","8","pagelink","Default suite","Thu Jun 26 11:22:12 IST 2025","broken","Thu Jun 26 11:22:12 IST 2025","test.Facebook_Test","Default test","test.Facebook_Test","pagelink"
"","2","beforeMethod","Default suite","Thu Jun 26 11:24:36 IST 2025","skipped","Thu Jun 26 11:24:36 IST 2025","test.NewTest","Default test","test.NewTest","beforeMethod"
"","11","method1","Default suite","Thu Jun 26 11:22:12 IST 2025","broken","Thu Jun 26 11:22:12 IST 2025","test.NewTest","Default test","test.NewTest","method1"
"","1","beforeMethod","Suite","Fri Dec 13 15:22:16 IST 2024","passed","Fri Dec 13 15:22:16 IST 2024","test.FrameLogic","Test123","test.FrameLogic","beforeMethod"
"","6658","homepageAction","Default suite","Thu Jun 26 11:22:12 IST 2025","broken","Thu Jun 26 11:22:19 IST 2025","test.HomePage_Simple","Default test","test.HomePage_Simple","homepageAction"
"","115","enteremail","Default suite","Thu Jun 26 11:21:46 IST 2025","broken","Thu Jun 26 11:21:46 IST 2025","test.AccessUrl3","Default test","test.AccessUrl3","enteremail"
"","14","siteTitle","Default suite","Thu May 29 13:45:47 IST 2025","passed","Thu May 29 13:45:47 IST 2025","test.AccessUrl2","Default test","test.AccessUrl2","siteTitle"
"","4","HomeRediff","Suite","Fri Dec 13 15:18:48 IST 2024","broken","Fri Dec 13 15:18:48 IST 2024","test.RediffSignin","Test123","test.RediffSignin","HomeRediff"
"","2","beforetest","Default suite","Thu May 29 13:00:39 IST 2025","broken","Thu May 29 13:00:39 IST 2025","newtest.ChiragSimple","Default test","newtest.ChiragSimple","beforetest"
"","20","siteTitle","Default suite","Thu Jun 26 11:21:45 IST 2025","passed","Thu Jun 26 11:21:45 IST 2025","test.AccessUrl3","Default test","test.AccessUrl3","siteTitle"
"","37","signinAction","Default suite","Thu May 29 13:40:41 IST 2025","passed","Thu May 29 13:40:41 IST 2025","newtest.ChiragSimple","Default test","newtest.ChiragSimple","signinAction"
"","6","homepageAction","Default suite","Thu Jun 26 11:24:26 IST 2025","skipped","Thu Jun 26 11:24:26 IST 2025","test.HomePage_Simple","Default test","test.HomePage_Simple","homepageAction"
"","11","CrtAccount","Default suite","Thu Jun 26 11:22:12 IST 2025","broken","Thu Jun 26 11:22:12 IST 2025","test.CreateAccount","Default test","test.CreateAccount","CrtAccount"
"","180133","method1","Suite","Fri Dec 13 15:19:16 IST 2024","broken","Fri Dec 13 15:22:16 IST 2024","test.NewTest","Test123","test.NewTest","method1"
"","13","HomeRediff","Default suite","Thu Jun 26 11:22:12 IST 2025","broken","Thu Jun 26 11:22:12 IST 2025","test.Rediff_Tab","Default test","test.Rediff_Tab","HomeRediff"
"","2407","siteTitle","Default suite","Thu Jun 26 11:23:41 IST 2025","passed","Thu Jun 26 11:23:44 IST 2025","test.Facebook_Link","Default test","test.Facebook_Link","siteTitle"
"","6","siteTitle","Default suite","Thu Jun 26 11:22:12 IST 2025","broken","Thu Jun 26 11:22:12 IST 2025","test.Facebook_Link","Default test","test.Facebook_Link","siteTitle"
"","13","siteTitle","Default suite","Mon Dec 30 15:13:58 IST 2024","passed","Mon Dec 30 15:13:58 IST 2024","test.AccessUrl","Default test","test.AccessUrl","siteTitle"
"","10","method","Default suite","Thu Jun 26 11:22:12 IST 2025","broken","Thu Jun 26 11:22:12 IST 2025","test.FrameLogic","Default test","test.FrameLogic","method"
"","0","method","Default suite","Thu Jun 26 11:24:15 IST 2025","skipped","Thu Jun 26 11:24:15 IST 2025","test.FrameLogic","Default test","test.FrameLogic","method"
"","11","signinAction","Default suite","Thu Jun 26 11:22:19 IST 2025","broken","Thu Jun 26 11:22:19 IST 2025","test.HomePage_Simple","Default test","test.HomePage_Simple","signinAction"
"","3553","pagelink","Default suite","Thu Jun 26 11:23:59 IST 2025","passed","Thu Jun 26 11:24:03 IST 2025","test.Facebook_Test","Default test","test.Facebook_Test","pagelink"
"","7","siteTitle","Default suite","Thu Jun 26 11:22:12 IST 2025","broken","Thu Jun 26 11:22:12 IST 2025","test.Facebook_Test","Default test","test.Facebook_Test","siteTitle"
"","22805","HomeRediff","Default suite","Thu Jun 26 11:21:46 IST 2025","broken","Thu Jun 26 11:22:09 IST 2025","test.RediffSignin","Default test","test.RediffSignin","HomeRediff"
